ham	Have your lunch and come quickly and open the door:)
spam	Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p
spam	YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
ham	alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap
ham	Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham	HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
spam	Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX
ham	Have you finished work yet? :)
ham	Are you going to wipro interview today?
ham	Were trying to find a Chinese food place around here
spam	Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r
ham	CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES
ham	Whens your radio show?
ham	Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
ham	Even i cant close my eyes you are in me our vava playing umma :-D
ham	Would me smoking you out help us work through this difficult time
ham	You know what hook up means right?
ham	Hey i've booked the pilates and yoga lesson already... Haha
ham	I am late. I will be there at
spam	Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
ham	U still going to the mall?
ham	Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.
ham	You call him now ok i said call him
ham	I absolutely LOVE South Park! I only recently started watching the office.
ham	"Hello! Just got here st andrews-boy its a long way! Its cold. I will keep you posted"
ham	"I don't know same thing that's wrong everyso often he panicks starts goin on bout not bein good enough …"
ham	"That means you got an A in epi she.s fine. She.s here now."
ham	I'm awake oh. What's up.
